State,LGA,Ward,PU-Code,,,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
ENUGU,ENUGU NORTH,OGUI NEW LAYOUT,14-04-08-010,,,EDINBURGH PRIMARY SCHOOL II,129,810,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,113,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20539/pu/39550/39550-1677584193.pdf
ENUGU,ENUGU NORTH,OGUI NEW LAYOUT,14-04-08-011,,,ENUGU CAMPUS I,434,1918,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,1,430,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20539/pu/39551/39551-1677584761.pdf
ENUGU,ENUGU NORTH,CHINA TOWN,14-04-09-013,,,CHINA TOWN PRIMARY SCHOOL III,92,558,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/09/pu/013/013-1677359416.pdf
ENUGU,ENUGU NORTH,NEW HAVEN,14-04-10-001,,,NEW HAVEN PRIMARY SCHOOL I,338,750,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,322,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20541/pu/39574/39574-1677667192.pdf
ENUGU,ENUGU NORTH,NEW HAVEN,14-04-10-018,,,N.E.P.A. QUARTERS (NEAR VOM NURSERY),353,1671,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/10/pu/018/018-1677390418.pdf
ENUGU,ENUGU NORTH,INDEPENDENCE LAYOUT,14-04-11-003,,,OKPARA SQUARE I,848,2777,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,840,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20542/pu/39594/39594-1677508558.pdf
ENUGU,ENUGU NORTH,INDEPENDENCE LAYOUT,14-04-11-005,,,OKPARA SQUARE III,515,2209,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/11/pu/005/005-1677386592.pdf
ENUGU,ENUGU NORTH,UDI SIDING/IVA VALLEY,14-04-12-026,,,COLLIERY TECH. SCHOOL I,224,762,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3364/ward/20543/pu/39632/39632-1677544457.pdf
ENUGU,ENUGU NORTH,UDI SIDING/IVA VALLEY,14-04-12-029,,,ARIA ROAD PRIMARY SCHOOL I,170,753,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/12/pu/029/029-1677370837.pdf
ENUGU,ENUGU SOUTH,AMECHI I,14-05-01-001,,,"IMO TRANSPORT COMPANY, 360 AGBANI ROAD I",185,939,TRUE,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,178,1,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3365/ward/20545/pu/39663/39663-1677539894.pdf
